Employee Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
Name,Fall 2020 - Staff Remote Learning Pulse Survey (Public),How to Improve Remote Learning,Overall Perceptions of Remote Learning,School Climate & Culture,Technology Challenges with Remote Learning,Spring 2019 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2018 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2017 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2016 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2015 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture
Green Lake,,29.0,49.0,53.0,28.0,,77.0,73.0,82.0,,84.0,78.0,91.0,,85.0,81.0,90.0,,80.0,77.0,83.0,,82.0,81.0,84.0
Greenwood,,33.0,32.0,92.0,32.0,,78.0,69.0,88.0,,51.0,50.0,53.0,,83.0,84.0,81.0,,72.0,70.0,75.0,,73.0,65.0,82.0
Hamilton Int'l,,28.0,39.0,84.0,38.0,,60.0,53.0,68.0,,52.0,43.0,62.0,,56.0,48.0,65.0,,60.0,54.0,66.0,,58.0,53.0,64.0
Hawthorne,,24.0,37.0,85.0,28.0,,74.0,67.0,82.0,,82.0,79.0,86.0,,78.0,72.0,84.0,,76.0,70.0,83.0,,75.0,69.0,82.0
Hazel Wolf,,23.0,42.0,89.0,30.0,,73.0,74.0,71.0,,75.0,71.0,79.0,,78.0,75.0,82.0,,80.0,76.0,85.0,,80.0,76.0,84.0
Highland Park,,28.0,43.0,90.0,26.0,,73.0,68.0,79.0,,64.0,61.0,67.0,,58.0,61.0,55.0,,55.0,56.0,54.0,,55.0,55.0,56.0
Ingraham Int'l,,30.0,51.0,85.0,45.0,,75.0,72.0,78.0,,77.0,72.0,83.0,,77.0,70.0,85.0,,74.0,69.0,79.0,,70.0,62.0,78.0
Interagency,,27.0,54.0,81.0,42.0,,67.0,65.0,70.0,,59.0,58.0,60.0,,68.0,69.0,67.0,,66.0,62.0,70.0,,74.0,71.0,77.0
Jane Addams,,24.0,53.0,77.0,35.0,,62.0,55.0,71.0,,62.0,59.0,65.0,,65.0,61.0,70.0,,56.0,52.0,60.0,,63.0,50.0,78.0
John Hay,,30.0,53.0,88.0,33.0,,70.0,70.0,70.0,,82.0,79.0,86.0,,55.0,58.0,51.0,,60.0,60.0,61.0,,72.0,65.0,79.0
John Muir,,15.0,46.0,96.0,26.0,,59.0,64.0,52.0,,62.0,63.0,61.0,,67.0,65.0,70.0,,61.0,54.0,70.0,,52.0,46.0,59.0
John Rogers,,25.0,54.0,94.0,43.0,,62.0,57.0,67.0,,70.0,63.0,77.0,,87.0,81.0,93.0,,77.0,67.0,89.0,,82.0,78.0,87.0
John Stanford Int'l,,25.0,34.0,96.0,20.0,,78.0,78.0,79.0,,82.0,83.0,81.0,,75.0,75.0,76.0,,77.0,68.0,86.0,,77.0,69.0,87.0
Kimball,,20.0,39.0,76.0,26.0,,65.0,62.0,69.0,,73.0,67.0,80.0,,81.0,72.0,90.0,,76.0,67.0,86.0,,78.0,74.0,83.0
Lafayette,,28.0,47.0,84.0,31.0,,74.0,75.0,73.0,,60.0,62.0,57.0,,77.0,72.0,84.0,,68.0,66.0,71.0,,64.0,65.0,63.0
Laurelhurst,,28.0,54.0,82.0,28.0,,87.0,86.0,87.0,,72.0,80.0,62.0,,72.0,78.0,64.0,,55.0,61.0,48.0,,66.0,72.0,61.0
Lawton,,28.0,45.0,85.0,27.0,,72.0,70.0,74.0,,85.0,83.0,87.0,,88.0,83.0,93.0,,87.0,84.0,91.0,,86.0,81.0,92.0
Leschi,,30.0,42.0,87.0,25.0,,48.0,46.0,50.0,,61.0,65.0,57.0,,64.0,62.0,66.0,,67.0,64.0,71.0,,62.0,54.0,72.0
Licton Springs,,32.0,46.0,78.0,26.0,,45.0,40.0,50.0,,58.0,53.0,65.0,,71.0,60.0,82.0,,73.0,67.0,80.0,,82.0,72.0,94.0
Lincoln,,31.0,39.0,87.0,44.0,,,,,,,,,,,,,,,,,,,,
Lowell,,25.0,46.0,81.0,28.0,,59.0,57.0,62.0,,33.0,27.0,39.0,,41.0,36.0,46.0,,60.0,50.0,72.0,,64.0,54.0,74.0
Loyal Heights,,28.0,40.0,87.0,30.0,,59.0,62.0,57.0,,77.0,73.0,82.0,,80.0,79.0,82.0,,86.0,87.0,85.0,,85.0,86.0,84.0
Madison,,30.0,57.0,80.0,43.0,,63.0,54.0,73.0,,54.0,47.0,63.0,,53.0,45.0,63.0,,59.0,49.0,71.0,,64.0,56.0,72.0
Madrona,,16.0,42.0,82.0,27.0,,49.0,46.0,53.0,,50.0,51.0,48.0,,59.0,56.0,63.0,,49.0,47.0,52.0,,42.0,36.0,48.0
Magnolia,,44.0,64.0,100.0,32.0,,,,,,,,,,,,,,,,,,,,
Maple,,27.0,38.0,88.0,23.0,,76.0,78.0,73.0,,77.0,78.0,75.0,,85.0,88.0,81.0,,83.0,81.0,85.0,,79.0,79.0,78.0
Martin Luther King Jr.,,31.0,49.0,71.0,30.0,,62.0,65.0,60.0,,57.0,51.0,64.0,,65.0,61.0,70.0,,52.0,49.0,54.0,,56.0,53.0,59.0
McClure,,25.0,46.0,86.0,32.0,,75.0,73.0,77.0,,73.0,68.0,78.0,,60.0,53.0,68.0,,67.0,64.0,71.0,,68.0,62.0,74.0
McDonald Int'l,,31.0,60.0,91.0,32.0,,76.0,71.0,81.0,,76.0,71.0,82.0,,78.0,69.0,88.0,,61.0,57.0,66.0,,71.0,66.0,77.0
Meany,,25.0,56.0,84.0,36.0,,49.0,40.0,60.0,,45.0,35.0,58.0,,,,,,,,,,,,
Mercer Int'l,,20.0,41.0,83.0,34.0,,67.0,66.0,69.0,,70.0,66.0,74.0,,75.0,74.0,75.0,,74.0,71.0,76.0,,,,
Montlake,,23.0,26.0,70.0,36.0,,71.0,66.0,76.0,,67.0,67.0,68.0,,74.0,73.0,75.0,,74.0,63.0,87.0,,81.0,80.0,83.0
Nathan Hale,,32.0,47.0,94.0,43.0,,67.0,59.0,76.0,,74.0,68.0,81.0,,67.0,61.0,73.0,,70.0,65.0,76.0,,72.0,68.0,78.0
North Beach,,33.0,58.0,90.0,41.0,,90.0,90.0,90.0,,78.0,78.0,78.0,,77.0,76.0,79.0,,83.0,85.0,81.0,,78.0,73.0,83.0
